Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Adenocarcinoma of lung (disorder)	C0152013	SYT1	6857	P21579	synaptotagmin 1	Transporter	460	0.412	0.846	0.60038	0.03		1.0	3	0	2015.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	TAZ	6901	Q16635	tafazzin	Enzyme	252	0.477	0.808	0.72591	0.03		1.0	3	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MIR608	693193		microRNA 608		55	0.615	0.538		0.03		1.0	3	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	TFRC	7037	P02786	transferrin receptor	Enzyme	359	0.437	0.885	6.9902e-05	0.03		1.0	3	0	2016.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	TP73	7161	O15350	tumor protein p73	Transcription factor	300	0.449	0.808	0.99696	0.03		0.667	3	0	2010.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	TPT1	7178	P13693	tumor protein, translationally-controlled 1	Cellular structure	143	0.528	0.731	0.80548	0.03		1.0	3	0	2013.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SFTPA2	729238	Q8IWL1	surfactant protein A2		111	0.563	0.731	0.0092512	0.03		1.0	3	0	1997.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	UBE2I	7329	P63279	ubiquitin conjugating enzyme E2 I		131	0.544	0.769	0.96496	0.03		1.0	3	0	2005.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	YWHAZ	7534	P63104	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	Chaperone	247	0.475	0.846	0.93965	0.03		1.0	3	0	2006.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CXCR4	7852	P61073	C-X-C motif chemokine receptor 4	G-protein coupled receptor	739	0.362	0.923	0.017804	0.03		1.0	3	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CD276	80381	Q5ZPR3	CD276 molecule	Enzyme modulator	169	0.505	0.731	2.4699e-09	0.03		0.667	3	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	KIF18A	81930	Q8NI77	kinesin family member 18A	Cellular structure	24	0.729	0.308	0.0014835	0.03		1.0	3	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ARHGAP24	83478	Q8N264	Rho GTPase activating protein 24		273	0.456	0.808	3.9495e-10	0.03		0.667	3	0	2010.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	CASP9	842	P55211	caspase 9	Enzyme	293	0.458	0.808	7.3826e-06	0.03		0.667	3	0	2006.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	ADAM9	8754	Q13443	ADAM metallopeptidase domain 9	Enzyme	109	0.56	0.654	0.029431	0.03		1.0	3	0	2014.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CCK	885	P06307	cholecystokinin		326	0.453	0.846	3.3034e-05	0.03		1.0	3	0	2012.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	KAT2B	8850	Q92831	lysine acetyltransferase 2B		116	0.563	0.692	0.98975	0.03		1.0	3	0	2015.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CD40LG	959	P29965	CD40 ligand	Signaling	453	0.414	0.846	0.72079	0.03		1.0	3	0	2013.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CD74	972	P04233	CD74 molecule	Enzyme modulator	170	0.512	0.808	0.24889	0.03		1.0	3	0	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CDC20	991	Q12834	cell division cycle 20	Enzyme modulator	86	0.587	0.577	3.0001e-07	0.03		1.0	3	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MFN2	9927	O95140	mitofusin 2	Enzyme	334	0.471	0.846	0.99415	0.03		1.0	3	0	2015.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MVP	9961	Q14764	major vault protein	Nucleic acid binding	172	0.512	0.769	6.7564e-08	0.03		1.0	3	0	2018.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	NAT2	10	P11245	N-acetyltransferase 2	Enzyme	311	0.451	0.885	3.2744e-06	0.02		1.0	2	0	2001.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	ADA	100	P00813	adenosine deaminase	Enzyme	379	0.44	0.885	2.8825e-12	0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CDH2	1000	P19022	cadherin 2		135	0.535	0.731	0.99171	0.02		1.0	2	0	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	HOTAIR	100124700		HOX transcript antisense RNA		234	0.475	0.769		0.02		1.0	2	1	2015.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MIR944	100126340		microRNA 944		37	0.678	0.269		0.02		1.0	2	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CD24	100133941	P25063	CD24 molecule		244	0.472	0.769		0.02		1.0	2	0	2014.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	BOP	100294715		Polymicrogyria, bilateral occipital		21	0.722	0.385		0.02		1.0	2	0	2007.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	MIR1297	100302187		microRNA 1297		32	0.682	0.5		0.02		1.0	2	0	2012.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	MIR1290	100302276		microRNA 1290		62	0.61	0.615		0.02		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	TMED7-TICAM2	100302736	Q86XR7;Q9Y3B3	TMED7-TICAM2 readthrough		329	0.438	0.769	0.0025936	0.02		0.5	2	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	LINC00578	100505566		long intergenic non-protein coding RNA 578		8	0.89	0.077		0.02		1.0	2	0	2018.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ERVK-20	100616444		endogenous retrovirus group K member 20		143	0.533	0.692		0.02		1.0	2	0	2014.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	HUWE1	10075	Q7Z6Z7	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1	Enzyme	198	0.534	0.769	1.0	0.02		1.0	2	0	2018.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	PTPRU	10076	Q92729	protein tyrosine phosphatase receptor type U	Enzyme	88	0.581	0.654	0.39251	0.02		1.0	2	0	2000.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	EDIL3	10085	O43854	EGF like repeats and discoidin domains 3	Enzyme	104	0.564	0.769	0.00014584	0.02		1.0	2	0	2016.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	CDK2	1017	P24941	cyclin dependent kinase 2	Kinase	270	0.456	0.692	0.61054	0.02		1.0	2	0	1996.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	FLOT1	10211	O75955	flotillin 1		56	0.623	0.692	1.0422e-08	0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MSLN	10232	Q13421	mesothelin	Extracellular structure	146	0.525	0.692	5.8751e-25	0.02		1.0	2	0	2014.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	CDK2AP2	10263	O75956	cyclin dependent kinase 2 associated protein 2	Enzyme modulator	117	0.544	0.808	0.78801	0.02		1.0	2	0	2004.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ZFPM2-AS1	102723356		ZFPM2 antisense RNA 1		32	0.736	0.385		0.02		1.0	2	0	2020.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	LINC01419	103352670		long intergenic non-protein coding RNA 1419		13	0.805	0.115		0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	NDRG1	10397	Q92597	N-myc downstream regulated 1	Enzyme	225	0.488	0.731	0.011324	0.02		1.0	2	0	2013.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	TACC3	10460	Q9Y6A5	transforming acidic coiled-coil containing protein 3		62	0.615	0.615	2.7082e-07	0.02		1.0	2	0	2014.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CIB1	10519	Q99828	calcium and integrin binding 1		275	0.458	0.769	0.00032612	0.02		1.0	2	0	2001.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	ZNRD2	10534	O60232	zinc ribbon domain containing 2		311	0.443	0.769	1.8426e-07	0.02		0.5	2	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	MRPL28	10573	Q13084	mitochondrial ribosomal protein L28		178	0.505	0.731	1.9955e-07	0.02		1.0	2	0	2004.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	SPAG5	10615	Q96R06	sperm associated antigen 5		38	0.674	0.385	1.3955e-15	0.02		1.0	2	0	2019.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	LUADT1	106182249		lung adenocarcinoma associated transcript 1		4	0.861	0.115		0.02		0.5	2	0	2015.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	IGF2BP3	10643	O00425	insulin like growth factor 2 mRNA binding protein 3	Enzyme	97	0.57	0.577	0.99999	0.02		1.0	2	0	2004.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	DCTN6	10671	O00399	dynactin subunit 6	Cellular structure	315	0.442	0.769	0.055741	0.02		0.5	2	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	HPSE	10855	Q9Y251	heparanase	Enzyme	393	0.425	0.808	2.266e-14	0.02		1.0	2	0	2001.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	ADAM28	10863	Q9UKQ2	ADAM metallopeptidase domain 28	Enzyme	41	0.666	0.5	2.9634e-24	0.02		1.0	2	0	2010.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CKAP4	10970	Q07065	cytoskeleton associated protein 4		332	0.436	0.731	0.50863	0.02		1.0	2	0	2015.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	KCNQ1OT1	10984		KCNQ1 opposite strand/antisense transcript 1		159	0.534	0.731		0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	COPS5	10987	Q92905	COP9 signalosome subunit 5	Enzyme	101	0.566	0.769	0.99925	0.02		1.0	2	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ERVK-32	110006328		endogenous retrovirus group K member 32, envelope		158	0.522	0.692		0.02		1.0	2	0	2012.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	SOX30	11063	O94993	SRY-box transcription factor 30		28	0.722	0.192	0.99825	0.02		1.0	2	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	RPP14	11102	O95059	ribonuclease P/MRP subunit p14		117	0.544	0.808	0.0019269	0.02		1.0	2	0	2004.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	STRAP	11171	Q9Y3F4	serine/threonine kinase receptor associated protein		27	0.716	0.269	0.90143	0.02		1.0	2	0	2006.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	CHEK2	11200	O96017	checkpoint kinase 2	Kinase	297	0.46	0.808	1.2103e-24	0.02		1.0	2	0	2010.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	RASSF8	11228	Q8NHQ8	Ras association domain family member 8		24	0.705	0.308	0.94158	0.02		0.5	2	1	2006.0	2007.0
Adenocarcinoma of lung (disorder)	C0152013	KLF8	11279	O95600	Kruppel like factor 8	Nucleic acid binding	55	0.628	0.462	0.0022471	0.02		1.0	2	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	CBX3	11335	Q13185	chromobox 3	Epigenetic regulator	53	0.633	0.346	0.40951	0.02		1.0	2	0	2014.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CHRNA4	1137	P43681	cholinergic receptor nicotinic alpha 4 subunit	Ion channel	248	0.492	0.808	8.5474e-05	0.02		1.0	2	0	2016.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	NLRP3	114548	Q96P20	NLR family pyrin domain containing 3		805	0.361	0.962	0.00081103	0.02		1.0	2	0	2015.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	CYGB	114757	Q8WWM9	cytoglobin		88	0.579	0.577	0.10249	0.02		1.0	2	0	2011.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	H3P9	115482684		H3 histone pseudogene 9		177	0.505	0.731		0.02		1.0	2	0	2004.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	H3P8	115482693		H3 histone pseudogene 8		116	0.544	0.808		0.02		1.0	2	0	2004.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	H3P23	115482696		H3 histone pseudogene 23		310	0.443	0.769		0.02		0.5	2	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	ANIB1	116833		aneurysm, intracranial berry 1		62	0.608	0.5		0.02		1.0	2	0	2010.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CCR7	1236	P32248	C-C motif chemokine receptor 7	G-protein coupled receptor	320	0.443	0.769	0.057623	0.02		1.0	2	0	2013.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	COL1A2	1278	P08123	collagen type I alpha 2 chain		271	0.486	0.846	1.0	0.02		1.0	2	0	2010.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	KLF6	1316	Q99612	Kruppel like factor 6	Nucleic acid binding	204	0.501	0.846	0.97946	0.02		1.0	2	0	2008.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	SLCO6A1	133482	Q86UG4	solute carrier organic anion transporter family member 6A1	Transporter	449	0.412	0.885	2.8807e-11	0.02		1.0	2	0	2000.0	2003.0
Adenocarcinoma of lung (disorder)	C0152013	COX8A	1351	P10176	cytochrome c oxidase subunit 8A	Enzyme	526	0.4	0.846	0.11606	0.02		1.0	2	0	2006.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	CLDN4	1364	O14493	claudin 4	Cell-cell junction	164	0.514	0.692	6.9789e-05	0.02		1.0	2	0	2015.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CPS1	1373	P31327	carbamoyl-phosphate synthase 1	Enzyme	133	0.59	0.615	1.0947e-09	0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CRABP2	1382	P29373	cellular retinoic acid binding protein 2		79	0.593	0.615	0.0015096	0.02		1.0	2	0	2014.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	KIF18B	146909	Q86Y91	kinesin family member 18B	Cellular structure	12	0.839	0.192	0.002309	0.02		1.0	2	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CTAG1B	1485	P78358	cancer/testis antigen 1B		166	0.507	0.731		0.02		1.0	2	0	2005.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CCN2	1490	P29279	cellular communication network factor 2	Signaling	518	0.399	0.846	0.00050202	0.02		1.0	2	0	2004.0	2006.0
Adenocarcinoma of lung (disorder)	C0152013	CTNND1	1500	O60716	catenin delta 1	Cellular structure	196	0.5	0.808	0.99999	0.02		1.0	2	0	2013.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CTNND2	1501	Q9UQB3	catenin delta 2	Cellular structure	117	0.579	0.731	1.0	0.02		1.0	2	0	2013.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CTSD	1509	P07339	cathepsin D	Enzyme	242	0.478	0.846	0.00091747	0.02		1.0	2	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	XXYLT1	152002	Q8NBI6	xyloside xylosyltransferase 1		16	0.78	0.231	0.0013246	0.02		1.0	2	1	2012.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	CYP1A2	1544	P05177	cytochrome P450 family 1 subfamily A member 2	Enzyme	218	0.494	0.923	2.4795e-10	0.02		1.0	2	0	2001.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	CYP1B1	1545	Q16678	cytochrome P450 family 1 subfamily B member 1	Enzyme	304	0.457	0.769	2.2024e-05	0.02		1.0	2	1	2005.0	2008.0
Adenocarcinoma of lung (disorder)	C0152013	CYP2B6	1555	P20813	cytochrome P450 family 2 subfamily B member 6		388	0.428	0.846	1.9303e-10	0.02		1.0	2	0	2002.0	2003.0
Adenocarcinoma of lung (disorder)	C0152013	CDCA2	157313	Q69YH5	cell division cycle associated 2		19	0.751	0.192	1.5175e-11	0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FMR1NB	158521	Q8N0W7	FMR1 neighbor		8	0.861	0.154	0.081815	0.02		1.0	2	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	PAQR7	164091	Q86WK9	progestin and adipoQ receptor family member 7		23	0.711	0.308	0.00028797	0.02		1.0	2	0	2013.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	DDB1	1642	Q16531	damage specific DNA binding protein 1	Nucleic acid binding	33	0.666	0.577	0.99979	0.02		1.0	2	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	DECR1	1666	Q16698	2,4-dienoyl-CoA reductase 1	Enzyme	399	0.426	0.885	4.4689e-14	0.02		1.0	2	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	DIO3	1735	P55073	iodothyronine deiodinase 3		80	0.593	0.731	0.62331	0.02		1.0	2	0	2015.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	DNMT1	1786	P26358	DNA methyltransferase 1	Epigenetic regulator	496	0.406	0.885	1.0	0.02		1.0	2	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ATN1	1822	P54259	atrophin 1		499	0.409	0.885	0.99992	0.02		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	DUSP4	1846	Q13115	dual specificity phosphatase 4		68	0.603	0.654	0.88152	0.02		1.0	2	0	2009.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	S1PR1	1901	P21453	sphingosine-1-phosphate receptor 1	G-protein coupled receptor	126	0.546	0.769	0.73269	0.02		1.0	2	0	2012.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ELF3	1999	P78545	E74 like ETS transcription factor 3	Transcription factor	112	0.551	0.808	0.98323	0.02		1.0	2	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	AK4	205	P27144	adenylate kinase 4	Kinase	27	0.705	0.462	0.13353	0.02		1.0	2	0	2012.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	EPHB6	2051	O15197	EPH receptor B6	Kinase	60	0.619	0.538	1.2013e-07	0.02		1.0	2	0	2009.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	ERBB4	2066	Q15303	erb-b2 receptor tyrosine kinase 4	Kinase	317	0.455	0.846	0.99912	0.02		1.0	2	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ESRRB	2103	O95718	estrogen related receptor beta	Nuclear receptor	102	0.565	0.846	0.12609	0.02		1.0	2	0	2009.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	EYA2	2139	O00167	EYA transcriptional coactivator and phosphatase 2		58	0.636	0.462	0.097959	0.02		1.0	2	0	2015.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ALCAM	214	Q13740	activated leukocyte cell adhesion molecule	Cell adhesion	181	0.502	0.808	0.73267	0.02		1.0	2	0	2014.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	F2RL1	2150	P55085	F2R like trypsin receptor 1	G-protein coupled receptor	256	0.48	0.769	0.00014843	0.02		1.0	2	0	2003.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ALDH3A1	218	P30838	aldehyde dehydrogenase 3 family member A1		53	0.641	0.577	3.9013e-17	0.02		1.0	2	0	2012.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	FEN1	2237	P39748	flap structure-specific endonuclease 1	Enzyme	113	0.55	0.731	4.7743e-05	0.02		1.0	2	0	2015.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	VEGFD	2277	O43915	vascular endothelial growth factor D	Signaling	132	0.538	0.769	2.498e-05	0.02		1.0	2	0	2000.0	2005.0
Adenocarcinoma of lung (disorder)	C0152013	FLOT2	2319	Q14254	flotillin 2		56	0.633	0.615	7.1158e-05	0.02		1.0	2	0	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	JMJD6	23210	Q6NYC1	jumonji domain containing 6, arginine demethylase and lysine hydroxylase	Receptor	73	0.615	0.654	0.93353	0.02		1.0	2	0	2013.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	FLT4	2324	P35916	fms related receptor tyrosine kinase 4	Kinase	306	0.457	0.808	1.0	0.02		1.0	2	0	2007.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	FN1	2335	P02751	fibronectin 1	Signaling	724	0.365	0.962	0.0014045	0.02		1.0	2	0	2009.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	ZFPM2	23414	Q8WW38	zinc finger protein, FOG family member 2	Transcription factor	142	0.565	0.731	1.0	0.02		1.0	2	0	2018.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	FOLR2	2350	P14207	folate receptor beta		105	0.559	0.654	5.4816e-06	0.02		1.0	2	0	2012.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	PRAME	23532	P78395	preferentially expressed antigen in melanoma		134	0.531	0.577	2.394e-07	0.02		1.0	2	0	2014.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	CASP14	23581	P31944	caspase 14	Enzyme	40	0.663	0.462	2.8684e-06	0.02		1.0	2	0	2011.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	SLC7A11	23657	Q9UPY5	solute carrier family 7 member 11	Transporter	72	0.603	0.692	5.6817e-05	0.02		1.0	2	0	2018.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CTAG1A	246100	P78358	cancer/testis antigen 1A		161	0.508	0.731		0.02		1.0	2	0	2005.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	FUT2	2524	Q10981	fucosyltransferase 2	Enzyme	126	0.552	0.731	5.3218e-14	0.02		1.0	2	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	FUT4	2526	P22083	fucosyltransferase 4	Enzyme	168	0.505	0.731	7.7294e-06	0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SFTA3	253970	P0C7M3	surfactant associated 3		6	0.821	0.308	0.38679	0.02		1.0	2	2	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	RAD54B	25788	O95073;Q9Y620	RAD54 homolog B		38	0.659	0.462	8.1173e-13	0.02		1.0	2	0	2015.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	BRMS1	25855	Q9HCU9	BRMS1 transcriptional repressor and anoikis regulator		72	0.597	0.615	1.579e-07	0.02		1.0	2	0	2013.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ASPM	259266	Q8IZT6	abnormal spindle microtubule assembly		159	0.526	0.769	3.3502e-49	0.02		1.0	2	0	2010.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	WWTR1	25937	Q9GZV5	WW domain containing transcription regulator 1	Enzyme modulator	134	0.529	0.615	0.93914	0.02		1.0	2	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	PRPF31	26121	Q8WWY3	pre-mRNA processing factor 31	Nucleic acid binding	150	0.531	0.731	0.98313	0.02		1.0	2	0	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GAS6	2621	Q14393	growth arrest specific 6	Extracellular structure	190	0.5	0.769	0.034477	0.02		1.0	2	0	2013.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	DGCR5	26220		DiGeorge syndrome critical region gene 5		45	0.65	0.577		0.02		1.0	2	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	PHGDH	26227	O43175	phosphoglycerate dehydrogenase	Enzyme	288	0.484	0.885	0.00013308	0.02		1.0	2	0	2017.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	GATA6	2627	Q92908	GATA binding protein 6		259	0.478	0.808	0.99709	0.02		1.0	2	0	2013.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	GBE1	2632	Q04446	1,4-alpha-glucan branching enzyme 1	Enzyme	102	0.612	0.654	1.1497e-12	0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GJA1	2697	P17302	gap junction protein alpha 1	Cell-cell junction	662	0.393	0.885	0.15523	0.02		1.0	2	0	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ATP2C1	27032	P98194	ATPase secretory pathway Ca2+ transporting 1	Transporter	45	0.663	0.423	1.0	0.02		1.0	2	0	2011.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	GJB1	2705	P08034	gap junction protein beta 1	Cell-cell junction	224	0.514	0.731	0.84627	0.02		1.0	2	0	2006.0	2007.0
Adenocarcinoma of lung (disorder)	C0152013	DKK3	27122	Q9UBP4	dickkopf WNT signaling pathway inhibitor 3		186	0.5	0.731	4.1049e-06	0.02		1.0	2	0	2010.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GPC3	2719	P51654	glypican 3		311	0.466	0.808	0.9982	0.02		1.0	2	0	2003.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	TOX3	27324	O15405	TOX high mobility group box family member 3		49	0.636	0.538	0.9995	0.02		1.0	2	0	2010.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GLI2	2736	P10070	GLI family zinc finger 2		351	0.446	0.846	0.97303	0.02		1.0	2	0	2019.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	ANG	283	P03950	angiogenin		185	0.511	0.769	0.28738	0.02		1.0	2	0	2009.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	NEAT1	283131		nuclear paraspeckle assembly transcript 1		179	0.502	0.769		0.02		1.0	2	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ANGPT1	284	Q15389	angiopoietin 1	Signaling	340	0.446	0.808	0.95208	0.02		1.0	2	0	2012.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CXCL17	284340	Q6UXB2	C-X-C motif chemokine ligand 17		50	0.647	0.615	0.0048138	0.02		1.0	2	0	2019.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	STPG4	285051	Q8N801	sperm-tail PG-rich repeat containing 4		39	0.659	0.577	9.5142e-05	0.02		1.0	2	0	2012.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	RGMB	285704	Q6NW40	repulsive guidance molecule BMP co-receptor b		24	0.711	0.462	0.071955	0.02		1.0	2	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GRK6	2870	P43250	G protein-coupled receptor kinase 6	Kinase	51	0.67	0.654	0.00048726	0.02		1.0	2	0	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GPX2	2877	P18283	glutathione peroxidase 2	Enzyme	60	0.619	0.5	0.00014995	0.02		1.0	2	0	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GRB2	2885	P62993	growth factor receptor bound protein 2		122	0.546	0.769	0.93934	0.02		1.0	2	0	2015.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	TRIB2	28951	Q92519	tribbles pseudokinase 2	Kinase	56	0.628	0.462	0.98349	0.02		1.0	2	0	2014.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	LAMTOR2	28956	Q9Y2Q5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2		129	0.538	0.808	0.19816	0.02		1.0	2	0	2004.0	2016.0
